Morford	Mark P. O.
Fox	Laurie
Northcutt	Wendy
Mull	Martin
Carter	Rubin
Carey	Peter
Burke	Cinammon
Laker	Rosalind
McCullen	Mary
Squire-Buresh	Anne L.
Thayer	Nancy
Thompson	Hunter S.
Linamen	Karen Scalf
Marai	Sandor
Bennett	Alan
Blissett	Luther
Saavedra	Miguel De Cervantes
Schneider	Helga
Jamal	Salah
Rico	Santiago Alba
Tena	Luca de
Craze	Richard
Cercas	Javier
Arsan	Emmanuelle
Bucay	Jorge
Moix	Terenci
Etxebarria	Lucia
Burke	Delta
Johnston	Michael
Pike	Christopher
Simpson	Robert
Martin	Michael A.
Jarman	Heather
III	David R. George
Garton	Ray
Burke	Jan
Laing	Ed
Kahn	A. Michael
Green	Christine
Nordan	Lewis
Diehl	William
Fenton	Julia
Brady	Vicki A.
Davidson	Diane Mott
DOBSON	LINDA
Barnes	Bob
Allen	Marvin
Hobbie	Douglas
Gower	Iris
Sher	Antony
Jimenez	Juan Ramon
Jacobs	A.J.
Harris	Marvin
Marinoff	Lou
Paulos	John Allen
Tamaro	Susana
Welch	Jack
Press	Conari
III	Andre Dubus
Fehlau	Ria
Shales	Tom
Goldsborough	Robert
CRAIS	ROBERT
Blake	Jennifer
Pavord	Anna
Perry	S.D.
Straley	John
Bell	Julia
Larkin	Philip
Munsch	Robert N.
Quivers	Robin
Maclean	Norman
Hinton	S. E.
Gunther	John
Preston	Richard
Flank	Lenny
Adamson	Joy
Mahfouz	Naguib
Hui	Wei
Landis	Catherine
Ward	Amanda Eyre
Carson	Rachel
ADAMS	DOUGLAS
Hawks	Tony
Clarke	Lindsay
McQuillan	Karin
Thomson	Amy
Rowland	Laura Joh
STEPHENSON	NEAL
Kellogg	Marjorie B.
Baker	Kage
Clement-Davies	David
Pollack	Rachel
Jenkins	Emily
Cornelius	Mirika Mayo
Krulak	Victor H.
Lamanna	Mary Ann
Drosnin	Michael
Searles	John
Grace	Carol
Stone	Tom
Reynolds	Sheri
Bluh	Bonnie
TRIGIANI	ADRIANA
Murphy	Gloria
Shipman	Pat
Thomas	Donald
Freedman	Benedict
RICE	LUANNE
Berg	Elizabeth
Robinson	Roxana
Scott	Willard
Graham	Laurie
Leclaire	Anne D.
Hall	Parnell
Anderson	Catherine
Rivers	Nikki
Schulze	Dallas
Jenson	Muriel
Craig	Emma
Pearl	Nancy
Winton	Tim
Gautreaux	Tim
Fergus	Jim
Robinson	Randall
Marrs	Jim
Abbott	Edwin A.
Henry	O.
Hogan	James P.
Weible	Wayne
Cela	Camilo Jose
Harwood	Jeremy
Underwood	Jim
Cleage	Pearl
Morgan	Marlo
Meier	Gary
Hillen	Ernest
Madden	Deirdre
Lawrence	D.H.
Braam	Stella
DeLaney	Frank
Bieg	Hartmut
Pierce	Barbara
McCall	Dinah
Krahn	Betina
Small	Bertrice
Love	Kathy
Plumley	Lisa
London	Cait
Baratz-Logsted	Lauren
Gottlieb	Annie
Thompson	Vicki Lewis
Johnston	Tony
Munro	Ken
Parkhurst	Liz Smith
King	Thomas
Schneider	Hansjeirg
Strauss	Botho
Burkart	Erika
Moltke	Freya von
Delau	Reinhard
Schneider	Hansjaurg
Viragh	Christina
Wirz	Jacques
Meeks	Linda Brower
Lukas	Paul
CAPRA	FRITJOF
Kelman	Suanne
Seabrook	John
Tiger	Lionel
Niedzviecki	Hal
Becker	Ernest
Allen	Woody
Burton	Tim
Moss	Steve
Lott	Tim
Cain	James M.
HAMMETT	DASHIELL
Anastas	Benjamin
Saramago	Jose
Zipes	Jack
Nersesian	Arthur
Kirn	Walter
Henke	Roxanne
Staub	Wendy Corsi
Piven	Joshua
Williamson	Hugh Ross
Ribarich	Cindy
Lessard	Bill
Schechter	Harold
Adkins	Lesley
Gibson	Ian
Bondeson	Jan
Stallman	Richard M.
Bullard	Vaughn
Gentle	Mary
Hazel	Philip
O'BRIEN	TIM
Williams	Stephen
Perrin	Noel
Angier	Natalie
King	Laurie R.
Lessig	Lawrence
Everitt	Anthony
Nelson	Michael J.
KENDRICK	STEPHEN
Kennedy	Randall
Morton	Rochelle
Kelly	Jeff
Lynch	Thomas
King	Larry L
MACINTYRE	BEN
Friedman	David M.
Rilly	Cheryl
Hagberg	David
Price	Eugenia
Crescenzo	Luciano De
Burns	Edward McNall
Alter	Steven
Patier	Xavier
Serguine	Jacques
Schneider	Helge
Desai	Anita
Taylor	Gladys
Kinsella	W. P.
Nash	Bruce
Vandevelde	Vivian
BOWEN	GAIL
Kafka	Franz
Zipes	Jack David
Martin	George R.R.
Martin	George R. R.
MARTIN	GEORGE R.R.
Koja	Kathe
Lansky	Doug
Krantz	Judith
Henrick	Richard
Kingsley	Johanna
Notaro	Laurie
Caldwell	Taylor
Cameron	Julia
Griffin	Mark
Powers	Elizabeth
Perrotta	Louise
Cooper	Sue Ellen
Rohr	Richard
Kincaid	Jamaica
Fleischman	Paul
Livesey	Margot
HANAUER	CATHI
Moorman	Margaret
Ali	Monica
BERG	ELIZABETH
Fowler	Karen Joy
Sparks	Micah
Winston	Lolly
MINOT	SUSAN
Allen	Charlotte Vale
Galeano	Eduardo H.
Law	Janice
Hawkes	Judith
Jennings	James
Baudrillard	Jean
Schwartz	Alvin
Burgess	Melvin
Walsch	Neale Donald
JAMES	P.D.
Peery	Janet
Alexander	Robert
Fisher	Antwone Quenton
Chappell	Fred
MARQUEZ	GABRIEL GARCIA
Park	Frances
Gordon	Caroline
Zahn	Timothy
O'Cork	Shannon
Kirk	Larry
Scarfe	Gerald
Bell	Steve
Bryant	Mark
Goffe	Toni
Stickland	Henrietta
Rai	Milan
Sebald	W G
Kipling	Rudyard
Wagstaff	Mandy
Liedloff	Jean
Self	Will
Lanchester	John
STEVENS	JOHN
Pressfield	Steven
Hillier	B.B.
Moore	Lorrie
Day	Marlene
Klein	Robin
Finn	David
Cohen	Cafi
Moore	Raymond S.
Palladino	Lucy Jo
Dobson	Linda
Silva	Daniel
Adams	Robert
Turtledove	Harry
WEIS	MARGARET
TEVIS	WALTER
Wangerin	Walter
Shute	Nevil
Black	Conrad
Aldiss	Brian
Tevis	Walter
Niven	Jennifer
Fowler	Christopher
HAWKING	STEPHEN
Macarthur	Brian
Knaak	Richard A.
Wouk	Herman
Hugo	Victor
Hood	Daniel
Kiesow	Ulrich
Hamilton	Peter F.
Pascoe	Irene M.
Koss	Amy Goldman
Drake	David
Barron	Stephanie
Hewitt	William W.
Eliade	Mircea
Wyndham	John
Boyd	William
Cohen	J.M.
Whitten	D. G. A.
Moore	Wilfred George
Nietzsche	Friedrich
Roberts	A.R.R.R.
Stewart	Leighton
Mondey	David
Roffey	Monique
Blexley	Peter
Gardens	Better Homes and
Cole	Brian
Griffith	D.
Holland	Tom
Bichler	Albert
Remains	Jill
Davis	Natalie Zemon
KAUFFMAN	DONNA
Ephron	Nora
Friday	Nancy
Quick	Amanda
Steinem	Gloria
Carey	Lisa
BRADFORD	BARBARA TAYLOR
Rock	Joanne
Rathbone	Andy
Bennett	William J.
Parrish	Richard
Bullock	Alan
Ramgobin	Mewa
IVINS	MOLLY
McNeil	Legs
Baker	Stephen
Withey	Lynne
Josephus	Flavius
Barnes	Julian
HAILEY	ARTHUR
Didion	Joan
Gitlin	Todd
Fraser	Steve
Postman	Neil
Halberstam	David
Robertson	Pat
DUMAS	FIROOZEH
Pilcher	Rosamunde
Schine	Cathleen
Prose	Francine
Dietrich	William
Jensen	Ruby
Derbyshire	John
Hanh	Thich Nhat
Spinelli	Jerry
Seranella	Barbara
Blanchard	Alice
West	Tracey
George	Margaret
Begley	Louis
Arnim	Elizabeth von
Tuttle	Cameron
Parker	T. Jefferson
Austen	Mary
