ISBN;Title;Author;Year;Publisher
671721720;The Honor of the Queen (Honor Harrington Series, Book 2);David Weber;1993;Baen
679745963;The Man on the Balcony: The Story of a Crime (Vintage Crime/Black Lizard);Maj Sjowall;1993;Vintage Books USA
671875965;The Short Victorious War (Honor Harrington Series, Book 3);David Weber;1994;Baen
142003409;The Disappearance of Sherlock Holmes;Larry Millett;2003;Penguin Books
671577727;On Basilisk Station (Honor Harrington Series, Book 1);David Weber;1998;Baen
451451686;Reaper Man;Terry Pratchett;1992;New Amer Library
068486780X;Between Silk and Cyanide: A Codemaker's War, 1941-1945;Leo Marks;2000;Free Press
743224574;A Beautiful Mind: The Life of Mathematical Genius and Nobel Laureate John Nash;Sylvia Nasar;2001;"Simon &amp; Schuster"
671010115;"GONE FISHIN : Featuring an Original Easy Rawlins Short Story \Smoke\"" (Easy Rawlins Mysteries (Paperback))""";Walter Mosley;1998;Pocket
671004549;You Belong To Me;Mary Higgins Clark;1999;Pocket Books
375509283;The Threatening Storm: The Case for Invading Iraq;Kenneth M. Pollack;2002;Random House
081297106X;Reading Lolita in Tehran: A Memoir in Books;Azar Nafisi;2003;Random House Trade Paperbacks
312422601;Blue Latitudes : Boldly Going Where Captain Cook Has Gone Before;Tony Horwitz;2003;Picador
802139256;Peace Like a River;Leif Enger;2002;Grove Press
553565915;Embraced by the Light;Betty J. Eadie;1994;Bantam Books
055356160X;Cry Wolf;TAMI HOAG;1993;Bantam
439240700;The Power of Two (T*Witches, No 1);H. B. Gilmour;2001;Apple
345317580;Magic Kingdom for Sale - Sold! (Magic Kingdom of Landover);Terry Brooks;1990;Del Rey Books
345335287;The Black Unicorn (Magic Kingdom of Landover Novel);Terry Brooks;1990;Del Rey Books
345362276;Wizard at Large (Rookies Series);Terry Brooks;1989;Del Rey Books
373512066;Sweet Enemy;Diana Palmer;2002;Silhouette
812505042;The Time Machine;H. G. Wells;1995;Tor Books
486270718;The Invisible Man (Dover Thrift Editions);H. G. Wells;1992;Dover Publications
140022651;Journey to the Center of the Earth;Jules Verne;1965;Penguin Books
1558504184;Bradymania!: Everything You Always Wanted to Know - And a Few Things You Probably Didnt (25th Anniversary Edition);Elizabeth Moran;1995;Adams Media Corporation
590629808;The Message (Animorphs , No 4);K. A. Applegate;1996;Scholastic
590629778;The Invasion (Animorphs, No 1);K. A. Applegate;1996;Scholastic
059046678X;The Yearbook;Peter Lerangis;1994;Scholastic
671740903;SCREAM OF THE CAT (PHANTOM VALLEY ) : SCREAM OF THE CAT;Lynn Beach;1992;Aladdin
671740881;EVIL ONE (PHANTOM VALLEY 1) : EVIL ONE (Phantom Valley);Lynn Beach;1991;Aladdin
380570009;How to Talk So Kids Will Listen and Listen So Kids Will Talk;Adele Faber;1991;Back Bay Books
451077237;Farrah : An Unauthorized Biography of Farrah Fawcett-Majors;Patricia Burstein;1977;Signet Books
807842613;Graveyard of the Atlantic: Shipwrecks of the North Carolina Coast;David Stick;1989;University of North Carolina Press
345283554;Han Solo at Stars' End;Daley;1979;Not Avail
345260627;Splinter of the Mind's Eye;Alan Dean Foster;1978;Ballantine Books
345283929;Empire Strikes Back Wars;Donald F Glut;1980;Ballantine Books
068808527X;Close Friends;Peter Jenkins;1989;Harpercollins
929634063;50 Simple Things You Can Do to Save the Earth;Earthworks Group;1989;Pub Group West
898863538;A Hiker's Companion: 12,000 Miles of Trail-Tested Wisdom;Cindy Ross;1993;Mountaineers Books
679023755;Hiking a Celebration of the Sport and the World's Best Places to Enjoy It (Fodor's sports);Cindy Ross;1992;Random House Inc
394707745;Hungry Hikers Book of Good Cooking;Gretchen McHugh;1982;Alfred A. Knopf
042516540X;The Cat Who... Companion;Sharon A. Feaster;1998;Berkley Publishing Group
671695304;FOREVER : A Novel of Good and Evil, Love and Hope;Judy Blume;1989;Pocket
515134384;The Cat Who Went Up the Creek;Lilian Jackson Braun;2003;Jove Books
051512463X;The Cat Who Sang for the Birds (Cat Who... (Paperback));Lilian Jackson Braun;1999;Jove Books
671529714;HIGH TIDE FEAR STREET SUPERCHILLER 12;R.L. Stine;1997;Simon Pulse
671751174;First Evil (Fear Street Cheerleaders 1) : First Evil;R.L. Stine;1992;Simon Pulse
671001868;BODY SWITCHERS FROM OUTER SPACE: R L STINE'S GHOSTS OF FEAR STREET #14 (GHOSTS OF FEAR STREET);R.L. Stine;1996;Aladdin
345375580;The Elf Queen of Shannara (Heritage of Shannara, Book 3);Terry Brooks;1993;Del Rey Books
671802283;JUDY GARLAND;Anne E. Edwards;1975;Pocket
067166865X;STAR TREK YESTERDAY'S SON (Star Trek: The Original Series);A.C. Crispin;1988;Audioworks
553492411;Perfect Girls (Replica No. 4);Marilyn Kaye;1999;Skylark Books
590109715;The Andalite Chronicles (Elfangor's Journey, Alloran's Choice, An Alien Dies) - Animorphs;Katherine Applegate;1997;Apple
590629786;The Visitor (Animorphs, No 2);K. A. Applegate;1996;Scholastic
590629794;The Encounter (Animorphs , No 3);K. A. Applegate;1996;Scholastic
439164567;Shipwreck (Island, Book 1);Gordon Korman;2001;Hyperion Books for Children
590448595;Karen's School Trip (Baby-Sitters Little Sister, 24);Ann M. Martin;1992;Scholastic Paperbacks (Mm)
590448323;Karen's Doll (Baby-Sitters Little Sister, 23);Ann M. Martin;1991;Scholastic
590448315;Karen's Pen Pal (Baby-Sitters Little Sister, 25);Ann M. Martin;1992;Scholastic
553295691;The Christie Caper;Carolyn G. Hart;1999;Bantam
553562754;Southern Ghost;Carolyn G. Hart;1996;Bantam Books
515120618;Montana Sky;Nora Roberts;2000;Jove Books
971766711;A Thousand Country Roads: An Epilogue to The Bridges of Madison County;Robert James Waller;2002;John M. Hardy
201731355;Macromedia Dreamweaver 4: Training from the Source;Khristine Page;2001;Macromedia Press
380812029;All About Passion (Cynster Novels);Stephanie Laurens;2001;Avon
1551668424;Fifth Daughter;Elaine Coffman;2001;Mira
553583077;To Kiss a Spy (Get Connected Romances);JANE FEATHER;2003;Bantam
804119740;Lady of Desire;Gaelen Foley;2003;Ivy Books
446611107;The Rogue;Claire Delacroix;2002;Warner Books
1551669463;The Italian;Elaine Coffman;2002;Mira
821772252;Scrooge Wore Spurs;Janet Dailey;2002;Kensington Publishing Corporation
60009241;See Jane Score (Avon Romance);Rachel Gibson;2003;Avon
380819619;The Ring on Her Finger (Avon Romance);Elizabeth Bevarly;2002;Avon
1551668521;Reckless Encounter;Rosemary Rogers;2001;Mira
312989202;Finding You/Knowing You : Two Brand-New Novels For One Wonderful Price! (Candellano Family Trilogy);Maureen Child;2003;St. Martin's Paperbacks
451208293;Impostress (Signet Historical Romance);Lisa Jackson;2003;Signet Book
084395051X;Savage Destiny (Savage);Cassie Edwards;2003;Leisure Books
1551665964;Bride Of Black Douglas (Mira);Elaine Coffman;2000;Mira
843950676;Texas Bride (Leisure Historical Romance);Leigh Greenwood;2002;Leisure Books
451208153;The Iron Rose;Marsha Canham;2003;Signet Book
60001453;Love With the Proper Husband (Avon Historical Romance);Victoria Alexander;2003;Avon
60002050;On a Wicked Dawn (Cynster Novels);Stephanie Laurens;2002;Avon Books
373123213;The Italian's Trophy Mistress  (Mistress To A Millionaire);Diana Hamilton;2003;Harlequin
843951346;Seduced by a Rogue;Connie Mason;2003;Leisure Books
1551666766;Naughty Marietta;Nan Ryan;2003;Mira Books
1551666855;The Love Knot;Rebecca Brandewyne;2003;Mira
451208412;Racing Moon;Cassie Edwards;2003;Signet Book
61032093;Breathing Room (Avon Romance);Susan Elizabeth Phillips;2003;Avon Books
312989431;Deadly Caress (A Francesca Cahill Romance);Brenda Joyce;2003;St. Martin's Paperbacks
446611298;Seduced;Pamela Britton;2003;Warner Forever
843952059;The Very Virile Viking;Sandra Hill;2003;Leisure Books
380812975;Untie My Heart;Judith Ivory;2002;Avon
345447174;Midnight Confessions;CANDICE PROCTOR;2002;Ivy Books
553583565;Stealing Heaven;Madeline Hunter;2002;Bantam Books
804119953;The Ways of Grace;Linda Francis Lee;2002;Ivy Books
843950803;Reckless Embrace (Leisure Historical Romance);Madeline Baker;2002;Leisure Books
553583905;Kingdom Of Moonlight;Josie Litton;2002;Bantam Books
373292228;Married By Midnight (Harlequin Historical, No. 622);Judith Stacy;2002;Harlequin
60502312;Breaking All the Rules (Avon Light Contemporary Romances);Sue Civil-Brown;2002;Avon
743436830;River Road (Ross, Joann. Callahan Brothers Trilogy, 2.);JoAnn Ross;2002;Pocket
1551668920;A Season Of Miracles;Heather Graham;2002;Mira
60001445;Her Highness, My Wife;Victoria Alexander;2002;Avon
451206754;Must Be Magic;Patricia Rice;2002;Signet Book
440236401;The Temptress (The Bride Quest);Claire Delacroix;2001;Dell Publishing Company
038081479X;Heart of a Warrior;Johanna Lindsey;2002;Avon
843949635;Savage Moon;Cassie Edwards;2002;Leisure Books
843949724;Texas Homecoming (Night Riders);Leigh Greenwood;2002;Leisure Books
821771205;The Mating Game (Zebra Contemporary Romance);Melanie George;2002;Kensington Publishing Corporation
312979495;Tempt Me Twice (A Kenyon Family Novel);Barbara Dawson Smith;2001;St. Martin's Paperbacks
440235960;Romancing Riley;Connie Lane;2002;Dell Publishing Company
380811065;Lady Sophia's Lover;Lisa Kleypas;2002;Avon
440224055;Silent Honor;Danielle Steel;1997;Dell
140255087;The Snow Leopard (Penguin Nature Classics);Peter Matthiessen;1996;Penguin Books
684866048;Move Your Stuff, Change Your Life : How to Use Feng Shui to Get Love, Money, Respect and Happiness;Karen Rauch Carter;2000;Fireside
688164307;Every Day's a Party : Louisiana Recipes For Celebrating With Family And Friends;Emeril Lagasse;1999;Morrow Cookbooks
60392703;Do Less, Achieve More: Discover the Hidden Power of Giving in;Chin-Ning Chu;1998;ReganBooks
671743228;Success Through a Positive Mental Attitude;W. Stone;1991;Pocket
385483813;Intellectual Capital: The New Wealth of Organizations;THOMAS A. STEWART;1998;Currency
1556590415;The Book of Questions;Pablo Neruda;1991;"Consortium Book Sales &amp; Dist"
399517405;Italian Light Cooking;Marie Simmons;1992;Perigee Books
1885171013;Soulwork: Clearing the Mind, Opening the Heart, and Replenishing the Spirit;Bettyclare Moffatt;1994;Wildcat Canyon Press
1583940677;Nothing in This Book Is True, but It's Exactly How Things Are: The Esoteric Meaning of the Monuments on Mars;Bob Frissell;2003;Frog Ltd.
804110867;Other People's Skeletons (Rebecca Schwartz Mysteries);Julie Smith;1994;Ivy Books
446400688;Death and the Joyful Woman;Ellis Peters;1995;Warner Books
425102319;No Wind of Blame;Georgette Heyer;1994;Berkley Pub Group
039304856X;Iris and Her Friends: A Memoir of Memory and Desire;John Bayley;1999;"W.W. Norton &amp; Company"
399143335;The Cat Who Sang for the Birds;Lilian Jackson Braun;1998;Putnam Pub Group
962455741;Preserving Family Lands, Book I;Stephen J. Small;1998;Landowner Planning Center
441001866;Martin the Warrior (Redwall, Book 6);Brian Jacques;1996;Ace Books
441000312;Salamandastron (Redwall, Book 5);Brian Jacques;1994;Ace Books
515118249;The Cat Who Blew the Whistle;Lilian Jackson Braun;1996;Jove Books
743456823;The Lives of Dax (Star Trek: Deep Space Nine);Marco Palmieri;2002;Star Trek
312311354;The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945;Wladyslaw Szpilman;2002;Picador
671743562;Dreams of the Raven (Star Trek, No 34);Carmen Carter;1991;Star Trek
385335830;Diary of a Mad Bride (Summer Display Opportunity);Laura Wolf;2002;Delta
743262174;Cry, the Beloved Country (Oprah's Book Club);Alan Paton;2003;Scribner
515130389;Carolina Moon;Nora Roberts;2001;Jove Books
080411935X;Standing in the Rainbow;FANNIE FLAGG;2003;Ballantine Books
142004235;East of Eden (Oprah's Book Club);John Steinbeck;2003;Penguin Books
515135062;Three Fates;Nora Roberts;2004;Jove Books
595197124;The Courtship Dance of the Borderline;Anthony, Md. Walker;2001;Writer's Showcase Press
689859376;The Seeing Stone (The Spiderwick Chronicles, Book 2);Tony DiTerlizzi;2003;"Simon &amp; Schuster Children's Publishing"
1563524317;Down on Ponce: A Novel;Fred Willard;1997;Longstreet Press
8421615386;El Tiempo y la Promesa;Concha Lopez Narvaez;1990;Lectorum Publications
140065008;The Deptford Trilogy (King Penguin S.);Robertson Davies;1983;Penguin Books Ltd
156881802;Tartuffe, by Moliere;Richard Wilbur;1968;Harvest Books
6476333;Scorpio Illusion Uk;Robert Ludlum;0;Harpercollins Uk
3257233027;Richtig leben mit Geri Weibel. Neue Folge.;Martin Suter;2002;Diogenes Verlag
325723273X;Richtig leben mit Geri Weibel.;Martin Suter;2001;Diogenes Verlag
743412028;Pay It Forward;Catherine Ryan Hyde;2000;Pocket
3442429439;Die geheime Geschichte.;Donna Tartt;1995;Goldmann
61056774;The X-Files: Ground Zero;Kevin J. Anderson;1996;HarperEntertainment
425169693;Here on Earth (Oprah's Book Club);Alice Hoffman;1999;Berkley Publishing Group
452269571;Bastard Out of Carolina;Dorothy Allison;1993;Plume Books
051513287X;Face the Fire (Three Sisters Island Trilogy);Nora Roberts;2002;Jove Books
618002219;The Hobbit: or There and Back Again;J.R.R. Tolkien;1999;Houghton Mifflin Company
553576399;Distraction: A Novel;Bruce Sterling;1999;Spectra Books
451458370;Alien Taste (Roc Science Fiction);Wen Spencer;2001;Roc
441374239;Islands in the Net;Bruce Sterling;1989;Ace Books
887307884;Dogbert's Top Secret Management Handbook;Scott Adams;1996;HarperCollins Publishers
252068505;Hollywood Speaks: Deafness and the Film Entertainment Industry;John S. Schuchman;1999;University of Illinois Press
804108447;Druids;MORGAN LLYWELYN;1992;Del Rey
671721046;The Deed of Paksenarrion;Elizabeth Moon;1992;Baen
441117732;Count Zero (Ace Science Fiction);William Gibson;1987;Ace Books
553576429;A Good Old-Fashioned Future: Stories;Bruce Sterling;1999;Spectra Books
915035170;Deaf Culture Our Way;Holcomb;1995;Dawnsign Press
60914254;A Loss for Words : The Story of Deafness in a Family;Lou Ann Walker;1987;Perennial
441003702;Schismatrix Plus: Includes Schismatrix and Selected Stories from Crystal Express;Bruce Sterling;1996;Ace Books
886776155;When True Night Falls (Coldfire Trilogy, Book 2);C.S. Friedman;1994;Daw Books
055329461X;The Difference Engine;WILLIAM GIBSON;1992;Spectra
055357549X;Holy Fire: A Novel (Bantam Spectra Book);Bruce Sterling;1997;Bantam Books
553373803;The Fifth Sacred Thing;Starhawk;1994;Bantam
60392452;Stupid White Men ...and Other Sorry Excuses for the State of the Nation!;Michael Moore;2002;Regan Books
1568650418;The Elric Saga PT. II;Michael Moorcock;1984;Doubleday Books
451455789;No One Noticed the Cat;Anne McCaffrey;1996;Roc
963401661;Great Deaf Americans: The Second Edition;Matthew S. Moore;1996;Deaf Life Press
1566393523;The Feel of Silence (Health, Society, and Policy);Bonnie Poitras Tucker;1995;Temple University Press
153895152;Our Latin Heritage (Our Latin Heritage);Lillian M. Hines;1969;Holt Rinehart and Winston
345412451;The Termination Node;Lois H. Gresh;1999;Ballantine Books
590353403;Harry Potter and the Sorcerer's Stone (Book 1);J. K. Rowling;1998;Scholastic
671877283;Silverlight: The Arcana, Book II (Arcana/Morgan Llywelyn, Bk 2);Morgan Llywelyn;1996;Baen
941104184;War Against War;Ernst Friedrich;1987;Real Comet Press
380815931;In the Beginning...was the Command Line;Neal Stephenson;1999;Perennial
930878132;Guide to Korean Characters: Reading and Writing Hangul and Hanja;Bruce K. Grant;1987;Weatherhill Inc.
932130097;American Deaf Culture: An Anthology;Sherman Wilcox;1989;Linstok Press, Incorporated
312263120;Digital Fortress : A Thriller;Dan Brown;2000;St. Martin's Griffin
446532231;Dude, Where's My Country?;Michael Moore;2003;Warner Books
806511605;Fairy-Faith in Celtic Countries (Library of the Mystic Arts);W. Y. Evans-Wentz;1990;Citadel Press
7103999;Witch;Fiona Horne;2001;Thorsons Publishers
671877143;SILVERHAND: ARCANA BOOK I (Llywelyn, Morgan. Arcana, Bk. 1.);Morgan Llywelyn;1996;Baen
886777844;Summon the Keeper;Tanya Huff;1998;Daw Books
875424961;The 21 Lessons of Merlyn: A Study in Druid Magic and Lore;Douglas Monroe;1992;Llewellyn Publications
089281313X;Seekers of the Healing Energy: Reich, Cayce, the Kahunas, and Other Masters of the Vital Force;Mary Coddington;1991;Healing Art Press
877285314;Spiritual Cleansing: A Handbook of Psychic Protection;Draja Mickaharic;1989;Weiser Books
765341840;From The Two Rivers : The Eye of the World, Book 1 (Wheel of Time (Starscape));Robert Jordan;2002;Starscape
380789116;The Queen's Necklace;Teresa Edgerton;2001;Eos
2877141667;L'Education Sentimenntale (World Classics);Gustave Flaubert;2000;Bookking International
312243359;We Wish to Inform You That Tomorrow We Will be Killed With Our Families: Stories from Rwanda;Philip Gourevitch;1999;Picador USA
2742702458;La Virevolte;Nancy Huston;1999;Actes Sud
2253182389;Meurtres en soutane;P.D. James;2003;Le Livre de Poche
385498802;Bee Season: A Novel;Myla Goldberg;2001;Anchor Books/Doubleday
141002077;Cherry: A Memoir;Mary Karr;2001;Penguin Books
394757653;The Simple Art of Murder (Vintage Crime);RAYMOND CHANDLER;1988;Vintage
812579569;Domain;Steve Alten;2002;Tor Books
898655293;Myth-Nomers and Im-Pervections;Robert Asprin;1987;Donning Company Publishers
449904628;Dave Barry Slept Here: A Sort of History of the United States;Dave Barry;1990;Ballantine Books
831750065;In Praise of Cats;Smithmark Publishing;1992;Smithmark Pub
446674338;Brown Girl in the Ring;Nalo Hopkinson;1998;Warner Books
449702936;Sons from Afar;Cynthia Voigt;1988;Fawcett Books
449702146;Izzy, Willy-Nilly;Cynthia Voigt;1991;Fawcett Books
449701301;Building Blocks;Cynthia Voigt;1985;Fawcett Books
449703347;Tree by Leaf;Cynthia Voigt;1995;Fawcett Books
590477323;Building Blocks (Point);Cynthia Voigt;1994;Scholastic
449701875;Jackaroo;Cynthia Voigt;1989;Fawcett Books
590471570;A Solitary Blue (Point);Cynthia Voigt;1993;Scholastic
449702545;Homecoming;Cynthia Voigt;1990;Fawcett Books
156005778;Mister Sandman (Harvest Book);Barbara Gowdy;1998;Harvest Books
375727434;Hateship, Friendship, Courtship, Loveship, Marriage : Stories;Alice Munro;2002;Vintage
1550223968;Too Close to the Falls: A Memoir;Catherine Gildiner;1999;Independent Pub Group
312291639;The Nanny Diaries: A Novel;Emma McLaughlin;2003;St. Martin's Griffin
014043187X;The Picture of Dorian Gray (Penguin Classic);Oscar Wilde;1985;Penguin Books
425101452;Phantoms;Dean R. Koontz;1996;Berkley Publishing Group
192816489;No Name (World's Classics);William Wilkie Collins;1987;Oxford University Press
189251415X;The Bearded Lady;Sharlee Dieguez;1999;Guernica Editions
014018869X;Cold Comfort Farm;Stella Gibbons;1995;Penguin Books
1401068049;Revelation and the Fall of Judea;Maurice A. Williams;2002;Xlibris Corporation
2070374637;L'Ami retrouvÃ?Â©;Fred Uhlman;1983;Gallimard
2890377741;Lame (Collection Sextant);Esther Rochon;1995;Editions QuÃ©bec/AmÃ©rique
375505296;The Dante Club : A Novel;Matthew Pearl;2003;Random House
3423350024;Der Wahnsinn der NormalitÃ?Â¤t.;Arno Gruen;1989;Dtv
034536662X;Jacob the Baker: Gentle Wisdom For a Complicated World;Noah benShea;1990;Ballantine Books
553348981;Jitterbug Perfume;TOM ROBBINS;1990;Bantam
486251772;Adventures at Sea in the Great Age of Sail: Five Firsthand Narratives;Elliot Snow;1986;Dover Publications
671541013;POSSESSIONS;Judith Michael;1985;Pocket
684874350;ANGELA'S ASHES;Frank McCourt;1996;Scribner
451207580;Who Left That Body in the Rain? (Thoroughly Southern Mysteries);Patricia Sprinkle;2002;Signet Book
446611212;Violets Are Blue;James Patterson;2002;Warner Vision
316168688;The Dogs of Babel (Today Show Book Club #12);Carolyn Parkhurst;2003;Little, Brown
452264790;Tar Baby;Toni Morrison;1987;Plume Books
679448802;Gone Bamboo;Anthony Bourdain;1997;Random House Inc
425189082;The Etruscan Chimera (Archaeological Mystery);Lyn Hamilton;2003;Berkley Publishing Group
1566492785;The Tao of Bada Bing: Words of Wisdom from the Sopranos;David Chase;2003;Carhil Ventures, LLC
553254456;Gestalt Therapy;Frederick S. Perls;1983;Bantam Books
553130250;Women Prefer Women;Elula Perrin;1980;Bantam Books
451451279;The Witch's Daughter;R.A. Salvatore;1991;New Amer Library
441816533;Tomoe Gozen;Jessica Amanda Salmonson;1984;Ace Books
879977361;Amazons II;Jessica Salmonson;1982;DAW Books
671002384;Ancient Blood:  Day of Honor #1 (Star Trek The Next Generation);Diane Carey;1997;Star Trek
380561433;God Herself: Feminine Roots of Astrology;Geraldine Thorsten;1981;Harper Mass Market Paperbacks (Mm)
879831227;Preventive Organic Medicine (Pivot Health Book);Jurt W. Donsbach;1976;McGraw-Hill
425155943;Contagion;Robin Cook;1998;Berkley Publishing Group
553240307;Sudden Death;Rita Mae Brown;1984;Bantam Doubleday Dell
3257229534;Der Vorleser;Bernhard Schlink;1999;Diogenes Verlag AG
553144286;Lord Valentine's castle;Robert Silverberg;1981;Bantam Books
440241537;The King of Torts;JOHN GRISHAM;2003;Dell
034538475X;The Tale of the Body Thief (Vampire Chronicles (Paperback));Anne Rice;1993;Ballantine Books
671004247;Treaty's Law (Star Trek: Day of Honor, Book 4);Kristine Kathryn Rusch;1997;Star Trek
671002406;Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3);Michael Jan Friedman;1997;Star Trek
671006754;Armageddon Sky (Star Trek Deep Space Nine: Day of Honor, Book 2);L. A. Graf;1997;Star Trek
055327418X;Startide Rising (The Uplift Saga, Book 2);David Brin;1993;Spectra Books
345419995;Dave Barry's Greatest Hits;Dave Barry;1997;Ballantine Books
345388674;The Total Zone (Jordan Myles Mysteries);Martina Navratilova;1995;Fawcett Books
345277937;GOLDENGIRL;Peter Lear;1979;Ballantine Books
671824171;DANGEROUS GAMES;Marta Randall;1980;Pocket
441354955;I, alien : a novel;Michael Reaves;1978;"Grosset &amp; Dunlap"
879977981;Moonscatter;Jo Clayton;1985;New American Library
441239196;First Cycle;H. Beam Piper;1982;Ace Books
671822845;STARCHILD TRILOGY;Frederik Pohl;1978;Pocket
880387157;Illegal Aliens (Tsr Books);Nick Pollotta;1989;Wizards of the Coast
451163036;Cat House;Michael Peak;1992;Roc
394718224;The unicorn and other poems, 1935-1955;Anne Morrow Lindbergh;1972;Vintage Books
345280229;Warm Worlds and Otherwise;James Tiptree Jr.;1979;Del Rey Books
875421989;The Magick of the Tarot (The Llewellyn Practical Guides);"Denning &amp; Phillips";1993;Llewellyn Pubns
087100240X;Psychic Tarot: Illustrated with the Aquarian Tarot Deck;Craig Junjulas;1985;"Morgan &amp; Morgan, Inc."
874771412;Tarot therapy: A guide to the subconscious;Jan Woudhuysen;1980;distributed by Houghton Mifflin
886777631;City of Golden Shadow (Otherland, Volume 1);Tad Williams;1998;Daw Books
425098648;Night Chills;Dean R. Koontz;1996;Berkley Publishing Group
61008427;Pacific Blues;Stephen Smoke;1996;Harper Mass Market Paperbacks (Mm)
425181103;Phantoms;Dean R. Koontz;2002;Berkley Publishing Group
786001690;Tattoo;Dale Banks;1995;Pinnacle Books
380718340;"Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))";Patricia D. Cornwell;1994;Avon
451153553;Misery;Stephen King;1988;New Amer Library
142001805;The Eyre Affair: A Novel;Jasper Fforde;2003;Penguin Books
380014033;Lord of Light;Roger Zelazny;1969;Eos
553277839;Faerie Tale;Raymond E. Feist;1989;Bantam
375706062;Lying Awake;Mark Salzman;2001;Vintage Books USA
60981180;Mariette in Ecstasy;Ron Hansen;1992;Perennial
61051098;The Iron Lance (The Celtic Crusades, Book 1);Stephen R. Lawhead;2000;HarperCollins
425147622;The Body Farm;Patricia Daniels Cornwell;1995;Berkley Publishing Group
451180410;Mortal Fear;Greg Iles;1998;Signet Book
425143341;Curfew;Phil Rickman;1994;Berkley Publishing Group
446360856;The Gold Coast;Nelson DeMille;1991;Warner Books
1593100825;Highland Legacy: Four Generations of Love Are Rooted in Scotland;Tracey V. Bateman;2004;Barbour Publishing
1591451124;Deep in the Heart: A Novel (Morris, Gilbert. Lone Star Series.);Gilbert Morris;2003;Integrity Publishers
800758579;Emma's Gift: A Novel;Leisha Kelly;2003;Revell
812589831;People of the Owl (First North Americans);Kathleen O'Neal Gear;2004;Forge Books
451212193;Wind Walker;Cassie Edwards;2004;Signet Book
1593101678;Kansas Brides;Denise Hunter;2004;Barbour Publishing
312993560;The Tea Rose;Jennifer Donnelly;2004;St. Martin's Press
373791429;A Burning Obsession (Blaze);Susan Kearney;2004;Harlequin
373227787;Wanted Woman : Cascades Concealed (Intrigue);B.J. Daniels;2004;Harlequin
037327372X;To the Limit (Intimate Moments);Virginia Kelly;2004;Silhouette
373273711;One Eye Open (Intimate Moments);Karen Whiddon;2004;Silhouette
380400480;A Pirate's Love;Johanna Lindsey;1978;Avon
964894203;Secrets, Vol. 1;Alice Gaines;1995;Red Sage Publishing,Inc
037327369X;A Cry In the Dark : Family Secrets: The Next Generation (Intimate Moments);Jenna Mills;2004;Silhouette
1551666685;Embrace the Twilight;Maggie Shayne;2003;Mira Books
778320227;Edge of Twilight;Maggie Shayne;2004;Mira Books
553582763;By the Light of the Moon;DEAN KOONTZ;2003;Bantam
425188809;Watchers;Dean R. Koontz;2003;Berkley Publishing Group
425092178;Strangers;Dean R. Koontz;1986;Penguin Putnam~mass
345384369;Intensity;DEAN KOONTZ;1996;Ballantine Books
034539657X;Dark Rivers of the Heart;Dean R. Koontz;1995;Ballantine Books
20532105;CRY THE BELOVED COUNTRY (Scribner Classic);Alan Paton;1987;Scribner
671623931;GOOD EARTH;Gordon Buck;1987;Pocket
20519109;The Old Man and the Sea (A Scribner Classic);Ernest Hemingway;1987;Collier Books
425144429;Mr. Murder;Dean R. Koontz;1996;Berkley Publishing Group
345468392;The Chronicles of Riddick;ALAN DEAN FOSTER;2004;Del Rey
312305060;The Hours: A Novel;Michael Cunningham;2002;Picador
743493540;Van Helsing;Kevin Ryan;2004;Pocket Star
821770594;My Lady Pirate;Elizabeth Doyle;2001;Zebra Books
310466628;Windsong (Serenade/Serenata No. 14);Linda Herring;1985;Zondervan
446363510;The Jacaranda Tree;Rebecca Brandewyne;1995;Warner Books
037329168X;Magic And Mist (Historical);Fern Michaels;2001;Harlequin
440206707;Viking's Woman;Heather Graham;1990;Dell Publishing Company
425144569;For All Eternity;Linda Lael Miller;1994;Berkley Publishing Group
821764462;Precious Passion (Zebra Splendor Historical Romances);Elizabeth Doyle;1999;Zebra Books
451204948;A Day Late and a Dollar Short;Terry McMillan;2002;Signet Book
486290492;Sense and Sensibility (Dover Thrift Editions);Jane Austen;1995;Dover Publications
156619301X;Dracula;Bram Stoker;1994;Dorset Press
60175966;The Professor and the Madman;Simon Winchester;1998;HarperCollins Publishers
399144137;Rainbow Six;Tom Clancy;1998;Putnam Publishing Group
743436741;The Lions of Lucerne;Brad Thor;2002;Pocket Star
330352253;To the Hilt;Dick Francis;1997;Pan Publishing
609600567;Road Rage;Ruth Rendell;1997;Random House Inc
786404019;Day of the Long Night: A Palestinian Refugee Remembers the Nakba;Jamil I. Toubbeh;1997;"McFarland &amp; Company"
034545104X;Flesh Tones: A Novel;M. J. Rose;2002;Ballantine Books
394756827;Godel, Escher, Bach: An Eternal Golden Braid;Douglas R. Hofstadter;1989;Vintage Books USA
300069049;Cosima Wagner's Diaries: An Abridgement;Cosima Wagner;1997;Yale University Press
399146431;The Bonesetter's Daughter;Amy Tan;2001;Putnam Publishing Group
312186754;An Arrow's Flight;Mark Merlis;1998;St Martins Pr
312876513;Shadow of the Hegemon (Ender Wiggins Saga (Hardcover));Orson Scott Card;2001;Tor Books
080901548X;The Dark Child : The Autobiography of an African Boy;Camara Laye;1954;Farrar, Straus and Giroux
803287100;Yuwipi: Vision and Experience in Oglala Ritual;William K. Powers;1984;University of Nebraska Press
